PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Age,Purchase Amount,Category,Gender,Location
-1.5222624792213122,0.6086601858350373,-0.8651287438546346,0.5783412301280941,0.7575510902800457,0.7341167043795939,-0.7168398150007341,0.18799636426059163,-0.3508228647671622,-0.5781488452048202,55,53,Clothing,Male,Kentucky
-1.3595122656329122,-1.4556717284905742,-1.885708567732282,0.9896438020327891,-0.26623061541972964,0.725643486288948,-0.7508202570574022,0.11916352085994919,-0.2757419815006102,-0.5433496135913933,19,64,Clothing,Male,Maine
-1.521276029755388,0.283768911545301,-0.1424287327681797,1.098216862419218,0.2743196247656731,0.6894935644106319,-0.21533981268839147,0.15269144621365655,0.864190511373303,0.2131315305757685,50,73,Clothing,Male,Massachusetts
-1.5837006205743585,-0.8013803014941457,1.020374467402665,0.8778179518708933,-1.983650696558404,-0.24015089522971123,0.6619551735189627,0.43023472584161127,1.031349386904068,-0.13587023066795675,21,90,Footwear,Male,Rhode Island
-1.603265774827321,0.9985487363631307,-0.7373308277887555,0.6417891308499344,-0.6036451350703252,0.6071219797761807,0.7401542425465567,0.24120644699756882,0.7715219868985274,0.06838042378734963,45,49,Clothing,Male,Oregon
-1.60044290162677,0.9231267515221578,-1.9450410835767882,-0.29537803452872846,0.15972176976836885,-0.30258971150105196,0.6525367928038794,0.6710213453886411,-0.023681627277934915,-0.4247967828231079,46,20,Footwear,Male,Wyoming
-1.6417010441320483,1.3103349145607295,1.586212883220719,1.1876290392265172,-0.2811797860290919,0.599926242882797,0.7182889327237054,0.4147049178437284,-0.4951806678912305,0.6856274639998108,63,85,Clothing,Male,Montana
-1.5301092059674277,-0.21558395368450498,-1.6107684570684746,-0.1948049846666254,-0.7395538093094096,0.7668245688458972,-0.6627160905762618,0.2898210940222935,-0.2842654561118015,-0.704848382650415,27,34,Clothing,Male,Louisiana
-1.3853726972753366,-1.1382947761664022,-1.0581620958468034,2.380390366679612,-0.2709982695341265,-0.1973081318094616,-0.7764238075672806,0.618220939868555,-0.027135690773652917,-0.2762575474173703,26,97,Outerwear,Male,West Virginia
-1.4335900513882425,-0.4086612370366619,-0.6358033634959751,-1.5477261933471422,1.9633640863636825,-0.7708455835645572,0.6860233213492263,-0.0014396751457507184,0.6814238055387873,0.23850097752440202,57,31,Accessories,Male,Missouri
-1.5912289073543266,0.4353363548668399,-0.20022238020418864,-1.0243687685720908,0.5256134264924841,-0.10208406736180624,-0.6918023764468945,0.7635391472911781,-0.23803504765568562,0.3717387471109104,53,34,Footwear,Male,Arkansas
-1.362371388090103,-2.140742107467043,-0.08530162320242148,-0.5528525696086923,0.6261823672377639,0.6965190487220787,-0.2615636709019738,-0.07915722079620807,-0.29787303468461485,-0.5253212493004923,30,68,Clothing,Male,Hawaii
-1.5971556399264852,0.1735275594644064,1.5697441896152111,-0.35429972868513,0.659112045485279,-0.13232632819597495,0.6155028912606026,0.20413432061004244,-0.30951252144022595,-0.6664349663776006,61,72,Outerwear,Male,Delaware
-1.5831947304503502,0.4096709081165385,1.0426842943048142,-1.088986700948115,1.14881003156,0.71242158178301,0.852037630667692,0.14190460377912176,0.7317040011453075,0.05793536855230132,65,51,Clothing,Male,New Hampshire
-1.6229201230313017,0.39896457886401154,1.214274325647285,-1.1031938327996322,0.9566933493275385,0.055830643619794965,-0.709035968726574,0.4442264170697476,-0.24589228601774737,-0.7469599279223116,64,53,Outerwear,Male,New York
-1.4305380650685058,0.5840161119873941,-0.527049764065269,1.8605481177131205,1.4170584055024176,0.6087301654763351,0.5910322558106021,-0.049668341121513915,-0.23340772797073323,-0.7887125436328617,64,81,Clothing,Male,Rhode Island
-1.6835499084963832,-0.34148006245654955,0.07799594435940774,-1.2779537203135214,-1.5400573152033563,-0.7409825281979586,-0.3195831322433744,-0.02264071358203018,0.7916343639722853,0.40958796448556234,25,36,Accessories,Male,Alabama
