Component,Variance,Cumulative
PC1,0.10542750226181571,0.10542750226181571
PC2,0.07860274667886474,0.18403024894068046
PC3,0.07740994389910147,0.2614401928397819
PC4,0.07295221286626398,0.3343924057060459
PC5,0.07147198405312075,0.4058643897591666
PC6,0.03135031220341125,0.43721470196257783
PC7,0.026534059419082826,0.46374876138166066
PC8,0.019659434221830134,0.4834081956034908
PC9,0.019266597993390665,0.5026747935968815
PC10,0.018899314250737497,0.521574107847619
PC11,0.018658049334155588,0.5402321571817746
PC12,0.017510288605203695,0.5577424457869783
PC13,0.01537311545233817,0.5731155612393165
PC14,0.013368452992734245,0.5864840142320508
PC15,0.013301673541656147,0.5997856877737069
PC16,0.013100514944518627,0.6128862027182255
PC17,0.012945033738322087,0.6258312364565476
PC18,0.01276978979994834,0.638601026256496
PC19,0.012630651772204574,0.6512316780287005
PC20,0.012367637108863643,0.6635993151375642
PC21,0.012321096156245475,0.6759204112938096
PC22,0.011938715336392696,0.6878591266302023
PC23,0.011843692598968385,0.6997028192291707
PC24,0.011353746049723421,0.711056565278894
PC25,0.010925796126274184,0.7219823614051682
PC26,0.010696263898183468,0.7326786253033517
PC27,0.01050729409810352,0.7431859194014552
PC28,0.010485141252059987,0.7536710606535152
PC29,0.010431904928882654,0.7641029655823979
PC30,0.010258035405536952,0.7743610009879348
PC31,0.010129439618058561,0.7844904406059934
PC32,0.009145970153005643,0.793636410758999
PC33,0.003587179342541006,0.7972235901015401
PC34,0.0035370691724276654,0.8007606592739678
PC35,0.003487680395873524,0.8042483396698413
PC36,0.003477044313805591,0.8077253839836469
PC37,0.0034358986373347164,0.8111612826209816
PC38,0.003408476629599195,0.8145697592505808
PC39,0.003372003900704827,0.8179417631512856
PC40,0.003351908027843001,0.8212936711791287
PC41,0.003325800737508116,0.8246194719166368
PC42,0.0033039714850516457,0.8279234434016884
PC43,0.0032661903987745745,0.8311896338004631
PC44,0.003248211702570457,0.8344378455030336
PC45,0.003204020811042229,0.8376418663140758
PC46,0.0031871663046475923,0.8408290326187233
PC47,0.003167353620383554,0.8439963862391069
PC48,0.0031505642613088016,0.8471469505004157
PC49,0.003120779739861253,0.8502677302402769
PC50,0.0030984757854298065,0.8533662060257067
PC51,0.003082125561749853,0.8564483315874565
PC52,0.0030257308007050174,0.8594740623881615
PC53,0.003021247322064723,0.8624953097102263
PC54,0.003001266371829543,0.8654965760820558
PC55,0.002992201592628992,0.8684887776746848
PC56,0.002973617586897576,0.8714623952615824
PC57,0.0029286782158616897,0.8743910734774442
PC58,0.0029240176274354973,0.8773150911048797
PC59,0.002910292459769847,0.8802253835646495
PC60,0.002901992104926271,0.8831273756695758
PC61,0.0028725645484231005,0.8859999402179989
PC62,0.002837856389214166,0.8888377966072131
PC63,0.002834705936836205,0.8916725025440493
PC64,0.002805569562687756,0.894478072106737
PC65,0.002797193167129951,0.8972752652738669
PC66,0.0027754119925154524,0.9000506772663823
PC67,0.002763632858711212,0.9028143101250935
PC68,0.0027246756574219795,0.9055389857825155
PC69,0.002710888262637919,0.9082498740451533
PC70,0.002665931393763084,0.9109158054389164
PC71,0.0026645175720112287,0.9135803230109276
PC72,0.0026420307464656238,0.9162223537573932
PC73,0.002596335756976981,0.9188186895143702
PC74,0.00257359324852612,0.9213922827628963
PC75,0.0025394709758986777,0.923931753738795
PC76,0.0025047107436860917,0.9264364644824811
PC77,0.0023792615784273743,0.9288157260609085
PC78,0.0017892547338456645,0.9306049807947541
PC79,0.0017552786553567585,0.9323602594501108
PC80,0.001728370909588681,0.9340886303596995
PC81,0.0016867032845156466,0.9357753336442152
PC82,0.0016683386919744258,0.9374436723361896
PC83,0.0016404990196860494,0.9390841713558757
PC84,0.0016297484392076209,0.9407139197950833
PC85,0.001626474778303176,0.9423403945733865
PC86,0.0016108824581224268,0.9439512770315089
PC87,0.0015964400142860957,0.945547717045795
PC88,0.0015848104832720305,0.9471325275290671
PC89,0.001574933926492557,0.9487074614555596
PC90,0.0015579773954384176,0.950265438850998
PC91,0.001549803788364795,0.9518152426393628
PC92,0.0015242618611137086,0.9533395045004766
PC93,0.001512938337663381,0.95485244283814
PC94,0.0014951965028356272,0.9563476393409756
PC95,0.0014931037528103297,0.9578407430937859
PC96,0.001481834933104009,0.9593225780268899
PC97,0.0014754629688945682,0.9607980409957845
PC98,0.0014726686936987927,0.9622707096894833
PC99,0.0014606505240124365,0.9637313602134957
PC100,0.0014553245298444106,0.9651866847433401
